,Season Number,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name
301,2,302,VsnapU,Services,Professional Photography service,https://www.vsnapu.com/,4,4,0,0,0.0,Middle,2017,Goa,Goa,,15.0,,,50.0,1.5,3333.333333,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
302,2,303,TheHealthyFactory,Food,Protein bread,https://www.thehealthfactory.in/,2,2,0,0,0.0,Young,2018,Mumbai,Maharashtra,-1.0,,56.0,,75.0,2.1,3571.428571,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
303,2,304,Brevistay,Services,Booking hotels for hours,https://www.brevistay.com/,5,5,0,0,0.0,Young,2016,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",,42.0,,,100.0,1.66,6024.096386,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
304,2,305,SoulUp,Services,Real Conversations Real People,https://www.soulup.in/,2,0,2,0,0.0,Middle,,Bangalore,Karnataka,,,,,50.0,3.0,1666.666667,1,1.0,50.0,5.0,,,1000.0,1.0,,,0.0,,,50.0,5.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
305,2,306,TheBigBookBox - ChapterOneBooks,Household,New paperback and hardcover books,https://www.thebigbookbox.com/,2,1,1,0,0.0,Middle,,Gopalganj,Bihar,140.0,,,,50.0,8.0,625.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
306,2,307,Rubans,Beauty,Artificial Jewellery Set Online,https://www.rubans.in/,2,1,1,0,1.0,Middle,2014,Bangalore,Karnataka,5100.0,,,,150.0,0.5,30000.0,1,1.0,100.0,1.0,50.0,12.0,10000.0,3.0,,,0.0,,,33.33,0.333,16.66,0.0,,,33.33,0.333,16.66,33.33,0.333,16.66,0.0,,,0.0,,,,,,,,,
307,2,308,SameNotification,Technology,parental monitoring app,,1,1,0,0,0.0,Middle,,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",,,,,25.0,15.0,166.6666667,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
308,2,309,BottomLineSprays,Household,portable jet spray,https://bottomlinesprays.com/,2,1,1,0,1.0,Middle,,Ahmedabad,Gujarat,,2.0,,,35.0,5.0,700.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
309,2,310,LilGoodness,Food,Healthy Snacks,https://lilgoodness.com/,2,2,0,0,0.0,Middle,2020,Bangalore,Karnataka,-1.0,145.0,65.0,,100.0,1.0,10000.0,1,1.0,50.0,1.0,50.0,10.0,5000.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,50.0,1.0,50.0,0.0,,,,,,,,,
310,2,311,ForeverModest,Beauty,premium Muslim women's clothing,https://forevermodest.shop/,1,0,1,0,0.0,Young,2021,Aurangabad,Maharashtra,,4.2,,,20.0,10.0,200.0,1,1.0,20.0,20.0,,,100.0,4.0,,,0.0,,,5.0,5.0,,5.0,5.0,,5.0,5.0,,0.0,,,0.0,,,0.0,,,5.0,5.0,,,,,
311,2,312,Sahayatha,Health,smart wheelchair with an assistive cleansing device,https://dhanvantribiomedical.com/,1,0,1,0,0.0,Young,2022,Coimbatore,Tamil Nadu,,,,,100.0,10.0,1000.0,1,1.0,100.0,10.0,,,1000.0,5.0,,1.0,0.0,,,20.0,2.0,,20.0,2.0,,0.0,,,20.0,2.0,,20.0,2.0,,0.0,,,20.0,2.0,,,,,
312,2,313,WickedGud,Food,High Protein & Fiber Gluten Free Vegan food,https://wickedgud.com/,3,3,0,0,0.0,Middle,2021,Mumbai,Maharashtra,-1.0,,,,50.0,1.0,5000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
313,2,314,maisha,Beauty,Handmade Cotton & Jacquard Bags,https://maishalifestyle.com/,3,2,1,0,0.0,Middle,2018,Ahmedabad,Gujarat,,,,,75.0,3.0,2500.0,1,1.0,10.0,1.0,65.0,18.0,1000.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,10.0,1.0,65.0,,,,
314,2,315,NishHair,Beauty,100% Human Hair Extensions,https://nishhair.com/,1,0,1,0,0.0,Middle,2017,Mumbai,Maharashtra,670.0,80.0,,30.0,100.0,2.0,5000.0,1,1.0,100.0,2.0,,,5000.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,100.0,2.0,,,,,
315,2,316,MYBYK,Vehicles,IoT-enabled bikes,https://mybyk.in/,1,1,0,0,0.0,Middle,,Ahmedabad,Gujarat,-1.0,,,,200.0,1.0,20000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
316,2,317,GODESi,Food,Handmade lollipops,https://godesi.in/,2,1,1,0,0.0,Middle,,Bangalore,Karnataka,-1.0,270.0,,,90.0,0.5,18000.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
317,2,318,TAC,Beauty,"ayurveda co for glowing skin, makeup & open pores",https://theayurvedaco.com/,2,1,1,0,1.0,Middle,,Mumbai,Maharashtra,-1.0,,,,150.0,0.5,30000.0,1,1.0,81.0,1.0,69.0,12.0,8100.0,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,40.5,0.5,34.5,0.0,,,0.0,,,,,,40.5,0.5,34.5,Vikas
318,2,319,Naara-Aaba,Beverages,pears and plum wine,https://www.naaraaaba.com/,2,1,1,0,1.0,Middle,2017,Ziro,Arunachal Pradesh,,,50.0,18.0,75.0,2.5,3000.0,1,1.0,50.0,5.0,25.0,10.0,1000.0,2.0,,,0.0,,,0.0,,,0.0,,,25.0,2.5,12.5,0.0,,,0.0,,,0.0,,,,,,25.0,2.5,12.5,Vikas
319,2,320,StyloBug,Beauty,Girls Dresses Online,https://stylobug.com/,2,1,1,0,,Middle,,Delhi,Delhi,1400.0,46.0,,18.0,80.0,2.0,4000.0,1,1.0,80.0,10.0,,,800.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,80.0,10.0,,,,,
